,Job,Company,Location,Salary,Job Description,Date Posted,Job Rating,City,State/Zip
239,Senior Mechanical Engineer,QinetiQ,"Lorton, VA+1 location",missing,"You'll join a dynamic team of multi-disciplinary engineers, production, and support staff.Design and development of Opto-Mechanical Sensor Systems for…",PostedToday,3.7,Lorton, VA+1 location
240,Data Scientist,Comcentric,"Remote in Albany, NY+1 location",missing,"The Data Science team builds machine learning models that recommend best-match candidates for jobs.Mentor and grow other software engineers, data scientists,…",PostedJust posted,4.2,Remote in Albany, NY+1 location
241,"Manager, Data Scientist",KPMG,"New York, NY",missing,"Minimum of five years of experience leading teams of at least five data scientists, engineers, and other data & analytics professionals, including business…",PostedJust posted,3.9,New York, NY
242,Senior Data and AI Architect,PRICE WATERHOUSE COOPERS,"New York, NY",missing,"Working experience with data modeling, machine learning, Azure Databricks, Data Factory, Data Explorer, and Data Lake;",PostedJust posted,4.0,New York, NY
243,Software Development Engineer 2,"Amazon Dev Center U.S., Inc.","New York, NY+51 locations",missing,Working knowledge of applied machine learning.You will work closely with machine learning research scientists to design next generation fraud and compromise…,PostedToday,3.5,New York, NY+51 locations
244,Vice President Applied Machine Learning & Data Science,SiriusXM,"New York, NY 10017 (Midtown area)+1 location",missing,"Lead and grow a team engineers (machine learning, software and data) as well as data scientists.Strong working knowledge of machine learning and data science…",PostedToday,3.5,New York, NY 10017 (Midtown area)+1 location
245,"Business Intelligence Engineer, CCS, AdBI",Amazon Advertising LLC,"New York, NY+14 locations",missing,"Bachelor's degree in Computer Science, Engineering, Mathematics, or a related technical discipline.3+ years of hands-on experience in data mining and/or…",PostedToday,3.5,New York, NY+14 locations
246,"Applied Machine Learning Scientist, PubOps",Penguin Random House LLC,"New York, NY 10019 (Midtown area)",missing,"Data science at PRH truly runs the gamut, encompassing pricing systems, sales forecasting recommender/personalization systems, title segmentation, supply chain,…",PostedToday,3.9,New York, NY 10019 (Midtown area)
247,Senior Test Engineer (Fintech),Consumer Reports,"Yonkers, NY 10703 (Nepera Park area)",missing,"Widely known for our rigorous research and testing of products and services, we also survey millions of consumers each year, report extensively on marketplace…",PostedToday,3.3,Yonkers, NY 10703 (Nepera Park area)
248,"Director, Software Eng",Etsy,"Remote in Brooklyn, NY 11201+1 location",missing,You have led company-wide machine learning engineering initiatives with multiple stakeholders.We are seeking an engineering leader with a deep technical…,PostedToday,4.3,Remote in Brooklyn, NY 11201+1 location
249,Senior Engineer / Technical Lead,Roster,Remote in New York State,missing,"We’re looking for an Engineering Lead that can architect and help build our initial product offerings and also help plan for future, more complex, products,…",PostedToday,missing,Remote in New York State,
250,"Associate Director, Software Engineering",Planned Parenthood Federation of America,"Temporarily Remote in New York, NY",missing,Experience working with virtual machines and containers.They leverage this expertise in close partnership with other engineers and technical leads to ensure…,PostedToday,3.6,Temporarily Remote in New York, NY
251,Applied Machine Learning Scientist,Teladoc Health,"Purchase, NY 10577",missing,"Expertise in machine learning theory, as well as practical tricks for working with and delivering machine learning models including reinforcement learning,…",PostedToday,3.1,Purchase, NY 10577
252,"Software Engineer, Content Management Systems",GETTR,"Remote in Manhattan, NY",missing,"Knowing basic knowledge of machine learning.You'll work with engineering, product, design, and data science colleagues globally across time zones.",PostedToday,missing,Remote in Manhattan, NY
253,Product Support Manager,CB Insights,"Remote in New York, NY",missing,"Hire, manage, coach, mentor, inspire and support a team of 2-3 support engineers.This is a hands-on and managerial role working across multiple applications,…",PostedToday,4.6,Remote in New York, NY
254,Sr Business Intelligence Eng.,Amazon.com Services LLC,"New York, NY+3 locations",missing,"Bachelor's in Operations Research, Industrial Engineering, Mathematics/Applied Mathematics, Economics/Applied Economics or in another quantitative and…",PostedToday,3.5,New York, NY+3 locations
255,Machine Learning Engineer,General Atomics and Affiliated Companies,"Poway, CA+2 locations",missing,"May substitute equivalent machine learning engineer experience in lieu of education.Must have a basic understanding of machine learning concepts, principles,…",PostedJust posted,3.7,Poway, CA+2 locations
256,Data Science Team Lead (Text Extraction),SKAEL,"San Francisco, CA 94105 (Financial District area)+4 locations",missing,Lead a team of data scientists developing machine learning models and tools for SKAEL platforms.Capable of applying basic principles of data science (machine…,PostedJust posted,missing,San Francisco, CA 94105 (Financial District area)+4 locations
257,"Manager, Data Scientist",KPMG,"Irvine, CA 92618+2 locations",missing,"Minimum of five years of experience leading teams of at least five data scientists, engineers, and other data & analytics professionals, including business…",PostedJust posted,3.9,Irvine, CA 92618+2 locations
258,Senior Data Scientist - Platforms,Johnson & Johnson,"La Jolla, CA",missing,Candidates must have demonstrated the ability to work with product development data engineers to deploy data pipelines; with vendors to install 3rd party…,PostedJust posted,4.2,La Jolla, CA
259,Data Scientist,Comcentric,Remote in California+7 locations,missing,"Develop bias and fairness measurements that map to varying legal and regulatory definitions and integrate them into large-scale, complex machine learning…",PostedJust posted,4.2,Remote in California+7 locations,
260,"SW Development Engineer in Test, Amazon Halo",Amazon.com Services LLC,"Sunnyvale, CA+10 locations",missing,"Bachelor’s Degree in Computer Science or related field.Experience developing automation in at least one of OO languages - Java, C#/C++, Python.",PostedToday,3.5,Sunnyvale, CA+10 locations
261,Applied Scientist,Amazon.com Services LLC,"East Palo Alto, CA+53 locations",missing,"2+ years of experience of building machine learning models for business application.Graduate degree (MS or PhD) in Electrical Engineering, Computer Science,…",PostedToday,3.5,East Palo Alto, CA+53 locations
262,Senior Principal Engineer,Intel,"Hybrid remote in Santa Clara, CA 95052",missing,"Minimum Qualifications: � Ph.D. in Computer Science, Electrical Engineering, Computer Engineering or other related areas � 15+ years' experience in high…",PostedToday,4.1,Hybrid remote in Santa Clara, CA 95052
263,Cloud Engineer w/Azure,Converged Security Solutions,"San Francisco, CA 94104 (Financial District area)",missing,Majority team is Pacific Time Zone som e flexibility with schedule is required.The ideal candidate should have a thorough understanding of Microsoft Cloud…,PostedToday,missing,San Francisco, CA 94104 (Financial District area)
264,"Staff Engineer, Dev Ops",Slate Technologies,"San Francisco, CA 94104 (Financial District area)",missing,Slate’s “Digital Assistant'' uses machine learning and AI to execute multi-dimensional analysis across internal and external data sources.,PostedToday,missing,San Francisco, CA 94104 (Financial District area)
265,"Software Development Engineer, Health AI","Amazon Dev Center U.S., Inc.","Santa Clara, CA 94085+126 locations",missing,"1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems.",PostedToday,3.5,Santa Clara, CA 94085+126 locations
266,"Data Scientist, Senior Advisor [HYBRID]",Southern California Edison,"Rosemead, CA 91771+1 location",missing,Identify appropriate machine learning or data mining algorithms to solve various electric utility problems.Capable of learning from state-of-the-art technical…,PostedToday,3.9,Rosemead, CA 91771+1 location
267,Senior Data Analyst,"E2 Consulting Engineers, Inc.","San Diego, CA 92123 (Kearny Mesa area)",missing,"Developing predictive and/or machine learning models to support business decisions.E2 Consulting Engineers, Inc. (E2) is a professional services firm…",PostedToday,3.9,San Diego, CA 92123 (Kearny Mesa area)
268,Product Engineer,Infineon Technologies,"San Jose, CA",missing,Understanding of machine learning is a plus.Work with engineers to drive usage of your applications and tools.Strong problem-solving and analytical skills.,PostedToday,4.0,San Jose, CA
269,Principal Data Scientist,Hypersonix Inc.,"Remote in San Jose, CA 95131",missing,"Research and implement novel machine learning and statistical approaches.Expertise in using Python as well as with Spark ML, scikit-learn, Tensorflow, or…",PostedToday,missing,Remote in San Jose, CA 95131
270,Engineering Project Manager,Apple,"Austin, TX+2 locations",missing,"Previous experience with engineering, data analysis, machine learning or fraud detection/response would be beneficial, but is not required.",PostedJust posted,4.2,Austin, TX+2 locations
271,Data Engineer Mid Level - Machine Learning,USAA,"Hybrid remote in San Antonio, TX 78288",missing,Helps on-board entry level engineers.Collaborates with the team and other engineers on new technologies and alternatives to plan and execute complex…,PostedJust posted,3.9,Hybrid remote in San Antonio, TX 78288
272,"Manager, Data Scientist",KPMG,"Houston, TX 77002 (Downtown area)+2 locations",missing,"Minimum of five years of experience leading teams of at least five data scientists, engineers, and other data & analytics professionals, including business…",PostedJust posted,3.9,Houston, TX 77002 (Downtown area)+2 locations
273,Data Scientist - Ads Optimization,Comcentric,"Remote in Houston, TX",missing,"Expertise in statistical modeling and machine learning.We are looking for a mixture of statistician, scientist, machine learning expert, and engineer: someone…",PostedJust posted,4.2,Remote in Houston, TX
274,Senior Data and AI Architect,PRICE WATERHOUSE COOPERS,"Austin, TX 78703 (Downtown area)+1 location",missing,"Working experience with data modeling, machine learning, Azure Databricks, Data Factory, Data Explorer, and Data Lake;",PostedJust posted,4.0,Austin, TX 78703 (Downtown area)+1 location
275,Senior Data Scientist,Comcentric,Remote in Texas,missing,"Develop bias and fairness measurements that map to varying legal and regulatory definitions and integrate them into large-scale, complex machine learning…",PostedJust posted,4.2,Remote in Texas,
276,Software Development Engineer II,Amazon.com Services LLC,"Austin, TX+47 locations",missing,"This team is focused on saving hundreds of millions of dollars using cutting edge science, machine learning, and scalable distributed software on the Cloud that…",PostedToday,3.5,Austin, TX+47 locations
277,Software Development Engineer,"Amazon Dev Center U.S., Inc.","Houston, TX+70 locations",missing,We are enhancing the AWS SageMaker ML platform through adding a suite of capabilities that will empower our customers to achieve governance over their data and…,PostedToday,3.5,Houston, TX+70 locations
278,Senior Data Scientist - Machine Learning Engineer,Walmart,"Dallas, TX 75202 (Downtown area)+1 location",missing,The senior machine learning engineer will play a lead technical role in architecting scalable end-to-end data science solutions that are closely tied to…,PostedToday,3.5,Dallas, TX 75202 (Downtown area)+1 location
279,Tech Lead Cybersecurity Engineer,Southwest Airlines Co.,"Dallas, TX 75235 (Dallas Love Field area)",missing,"Develop, test and operate end-to-end software solutions using machine learning, related optimization, and knowledge systems.Must be at least 18 years of age.",PostedToday,4.3,Dallas, TX 75235 (Dallas Love Field area)
280,Java/React - Software Engineer,"JPMorgan Chase Bank, N.A.","Houston, TX+5 locations",missing,"This role requires a wide variety of strengths and capabilities, including:BS/BA degree or equivalent experience.",PostedToday,3.8,Houston, TX+5 locations
281,Staff Data Engineer,Walmart,"Dallas, TX 75202 (Downtown area)",missing,You have exposure to machine learning modeling life cycle.Coach and mentor junior data engineers.You are motivated and willing to learn quickly with our team…,PostedToday,3.5,Dallas, TX 75202 (Downtown area)
282,Software Engineer - Java,"JPMorgan Chase Bank, N.A.","Plano, TX+6 locations",missing,Need a Java Senior Developer to implement real-time Machine Learning models.5+ years of experience in Software Design and Development.,PostedToday,3.8,Plano, TX+6 locations
283,"Sr. Manager, Data & Analytics Platform --Remote",CarMax,"Remote in Plano, TX 75024",missing,"Sr. Mgr. of Data & Analytics platform is a critical role for building the right data and machine learning frameworks, standards, and platforms to ensure that…",PostedToday,3.6,Remote in Plano, TX 75024
284,Senior Data Analyst - Supply Chain Strategy,Walmart,"Dallas, TX 75202 (Downtown area)",missing,"Knowledge on supply chain, optimization and machine learning is preferred but not required.You will be working closely with data scientists, machine learning…",PostedToday,3.5,Dallas, TX 75202 (Downtown area)
285,"Software Engineer, Machine Learning L001",TikTok,"Seattle, WA+14 locations",missing,"Design, architect and implement large-scale machine learning systems/infrastructure/services for computer vision, computer graphics and deep learning models.",PostedJust posted,3.3,Seattle, WA+14 locations
286,"Staff Software Engineer, Backend",Fictiv,"Remote in Seattle, WA",missing,"Prior experience leading software engineers and development projects.Mentor, train, and guide engineers across multiple teams on modern design techniques, test…",PostedJust posted,missing,Remote in Seattle, WA
287,"Senior Software Engineer, Platform Team (Remote Positions Av...",Fictiv,"Remote in Seattle, WA",missing,Train and mentor other engineers on best practices for software development.Fictiv has a place for you to help build a group and an internal platform from…,PostedJust posted,missing,Remote in Seattle, WA
288,"Manager, Data Scientist",KPMG,"Seattle, WA 98101 (Downtown area)",missing,"Minimum of five years of experience leading teams of at least five data scientists, engineers, and other data & analytics professionals, including business…",PostedJust posted,3.9,Seattle, WA 98101 (Downtown area)
289,Software Development Engineer,Amazon.com Services LLC,"Seattle, WA+126 locations",missing,"Using smart rules and machine learning, self learning system sends relevant, timely, and personalized content on a fully automated basis.",PostedToday,3.5,Seattle, WA+126 locations
290,Thermal Engineer II,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",missing,"We are looking for a highly motivated Thermal Mechanical Engineer experienced in designing thermal solution for electronic packaging, lasers, sensors, and…",PostedToday,4.2,Redmond, WA 98052 (Overlake area)+1 location
291,"Sr. Software Engineer III , Amazon Photos, Computer Vision",Amazon.com Services LLC,"Seattle, WA+126 locations",missing,1+ years of experience applying machine learning to solve real-world problems.You’ll architect and design the ongoing evolution of the Computer Vision software…,PostedToday,3.5,Seattle, WA+126 locations
292,Software Engineer for Chapel Team,Hewlett Packard Enterprise,"Remote in Seattle, WA 98164+1 location",missing,"Library development for scientific computing, data science, or AI/machine learning.Working with scientists/engineers doing data analytics and/or simulations.",PostedToday,3.8,Remote in Seattle, WA 98164+1 location
293,"Business Intelligence Engineer, Sustainability Science & Inn...",Amazon.com Services LLC,"Seattle, WA+62 locations",missing,"Experience with statistical modeling, regression, and machine learning algorithms.5+ years of experience as an analyst or engineer in the data/BI space.",PostedToday,3.5,Seattle, WA+62 locations
294,"Sr Manager, Product Management, Amazon Learn",Amazon.com Services LLC,"Seattle, WA+5 locations",missing,"Bachelor's degree in Computer Science, Engineering or related field.10+ years of program management experience in execution of large-scale, complex, and…",PostedToday,3.5,Seattle, WA+5 locations
295,"Technical Program Manager, AWS Health AI, Health AI",Amazon.com Services LLC,"Seattle, WA+50 locations",missing,Bachelor’s Degree in Computer Science or related field.5+ years professional experience in software development.4+ years of project/program management.,PostedToday,3.5,Seattle, WA+50 locations
296,"Data Engineer, WWRO - Data & Analytics","Amazon Web Services, Inc.","Seattle, WA+53 locations",missing,"Amazon Web Services, Inc. provides services for broad range of applications including compute, storage, databases, networking, analytics, machine learning and…",PostedToday,3.5,Seattle, WA+53 locations
297,Commercial Real Estate - Data Domain Architect Senior Associ...,"JPMorgan Chase Bank, N.A.","Seattle, WA",missing,"Exposure and experience with designing and building machine learning algorithms.Collaborate with and influences solution architects, engineers & delivery teams…",PostedToday,3.8,Seattle, WA
298,Test Automation Engineer,Beyond Limits,"Tacoma, WA+1 location",missing,A QA automation engineer should be well versed in manual and automated testing.Identify specific cases that should be automated and discuss them with manual QA…,PostedToday,3.4,Tacoma, WA+1 location
299,Sr Software Engineer,Chewy,"Bellevue, WA+1 location",missing,"Develop python-based solutions to support machine learning operations.Experience with training, testing, and validating machine learning model.",PostedToday,2.7,Bellevue, WA+1 location
300,Senior Data Engineer,SAIC,Remote in United States,missing,The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…,PostedJust posted,4.0,Remote in United States,
301,"Advisory Associate, Federal Digital Lighthouse, Data Science...",KPMG,"McLean, VA 22102",missing,"From applied AI to optimization to big data platform engineering, your analytical and technical skills will drive real impact in the business world.",PostedJust posted,3.9,McLean, VA 22102
302,Data Center Project Engineer,"Amazon Data Services, Inc.","Sterling, VA+38 locations",missing,3+ years experience in the technical field of power distribution and data center mechanical cooling systems.The Critical Projects Implementation (CPI) team is…,PostedToday,3.5,Sterling, VA+38 locations
303,"Data Engineer, Consultant - Analytics & Cognitive",Deloitte,"McLean, VA+4 locations",missing,"1+ year of hands on experience with data core modernization and data ingestion.Implement large-scale data ecosystems including data management, governance and…",PostedToday,4.0,McLean, VA+4 locations
304,Data Engineer,Leidos,"Reston, VA 20190 (Sunset Hills area)+1 location",missing,"Fluency in executing data acquisition, transformation, and processing for data ingestion.Partner with various teams to define and execute data acquisition,…",PostedToday,3.7,Reston, VA 20190 (Sunset Hills area)+1 location
305,Data Center Engineer,SAP,"Hybrid remote in Reston, VA 20191",missing,We are looking for candidates who are local the the DC Metro Area.Helping to manage the Sterling/Ashburn Data Centers for all Build and Support topics.,PostedToday,4.3,Hybrid remote in Reston, VA 20191
306,Data Engineer - TS/SCI with Polygraph Required,Logistics Management Institute,"McLean, VA+7 locations",missing,Develop data transformation and data management strategies.Develop standards for data profiling and to improve data quality.,PostedToday,3.9,McLean, VA+7 locations
307,Data Center Planning Engineer - Engineer II/III,Dominion Energy,"Henrico County, VA+4 locations",missing,This role will communicate directly with multiple data center customers on a regular basis to discuss ongoing data center projects.Energized Wires Up to 25%.,PostedToday,4.0,Henrico County, VA+4 locations
308,Senior Data Engineer,Numerator,Remote in United States,missing,Architect data validation testing frameworks to ensure high data quality and integrity.4+ years of experience in building a data warehouse and data pipelines.,PostedToday,3.6,Remote in United States,
309,Data Analytics Engineer - Full Time Permanent,TechOne Partners,"Hybrid remote in McLean, VA",missing,The ideal candidate will collaborate with business data owners to ensure source data quality aligns with business needs.No Visa sponsorship or transfers.,PostedToday,missing,Hybrid remote in McLean, VA
310,Data Engineer (Secret and TS/SCI),Food Management Search,"Alexandria, VA+3 locations",missing,Scope new data integrations o Design data models o Perform data cleansing and transformation within the Foundry platform.Clearance: Secret OR TS/SCI.,PostedToday,missing,Alexandria, VA+3 locations
311,Remote - Principal Global Data Center Engineer,Piper Companies,"Remote in McLean, VA 22102",missing,"Existing data center service vendor relationships.Experience overseeing design and deployment of large-scale data center environments, including whitespace…",PostedToday,4.5,Remote in McLean, VA 22102
312,Principal Software Engineer - Data Enthusiast,Chameleon Consulting Group,"Remote in Herndon, VA 20171+1 location",missing,The role provides an opportunity to shape service component interactions and architect data models for flexible and efficient data retrieval and analytics.,PostedToday,missing,Remote in Herndon, VA 20171+1 location
313,Data Engineer,IntraFi Network,"Hybrid remote in Arlington, VA 22209",missing,Refining data governance and compliance standards to ensure the security and auditability of the data platform.Data Engineering: 3 years (Preferred).,Posted1 day ago,3.8,Hybrid remote in Arlington, VA 22209
314,Data Analytics Engineer,Cloudwise Solutions,"McLean, VA",missing,The ideal candidate will collaborate with business data owners to ensure source data quality aligns with business needs.DDL and BI tools such as Tableau.,Posted1 day ago,missing,McLean, VA
315,Senior Data Engineer,SAIC,Remote in United States,missing,The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…,PostedJust posted,4.0,Remote in United States,
316,"Principal Data Engineer - (GCP, BigQuery, Kafka) - 190k",Michael Page,"Remote in Queens, NY+15 locations",missing,"Help design, develop and implement end to end data solutions such as storage, integration and processing in GCP.Proficient using Python and SQL.",PostedJust posted,3.5,Remote in Queens, NY+15 locations
317,Data Engineer,Eight Sleep,"Remote in New York, NY",missing,Clean and organize large scale data sources in data warehousing solutions.3+ years of data engineering experience.Experience with Airflow or Prefect.,PostedToday,missing,Remote in New York, NY
318,Data Engineer,"JRM Construction Management, LLC","New York, NY 10018 (Clinton area)",missing,Designing and developing data services utilizing object-oriented design patterns.Ensures that all information is secure in transport and complies with standard…,PostedToday,3.8,New York, NY 10018 (Clinton area)
319,Data Engineer,Hyperspace,"New York, NY 10003 (Flatiron area)",missing,"We’re looking for a talented data engineer that can help us build, scale and maintain our data infrastructure.Experience with Kubernetes is a plus!",PostedToday,missing,New York, NY 10003 (Flatiron area)
320,Senior Data Engineer,Numerator,Remote in United States,missing,Architect data validation testing frameworks to ensure high data quality and integrity.4+ years of experience in building a data warehouse and data pipelines.,PostedToday,3.6,Remote in United States,
321,Data Engineer -ENTRY LEVEL- (Bootcamp),PCS Global Tech,"Manhattan, NY",missing,"Previous experience as a data engineer or in a similar role.Technical expertise with data models, data mining, and segmentation techniques.",PostedToday,missing,Manhattan, NY
322,Azure Synapse Data Engineer,Pioneer IT Solutions,"New York, NY",missing,"Participation in the design of data models for downstream reports.Azure Synapse/Datafactory, t-SQL, ADLS Gen2, PowerShell, Databricks/Scala/pyspark, Cosmos DB.",Hiring ongoing,missing,New York, NY
323,"Data Engineer, Measurement Operations and Analytics, YouTube",YouTube,"New York, NY",missing,2 years of experience in data visualization.Guarantee the technical aspects of YouTube viewership data integrations by providing technical guidance and…,PostedToday,4.3,New York, NY
324,Sr. Data Engineer,DISYS,United States,missing,Integrate data from multiple sources to produce requested or required data elements.Identify and define data quality improvements.,Posted1 day ago,3.4,United States,
325,Software Engineer: Data/Systems,Oscar Health,"Remote in New York, NY 10013+2 locations",missing,"You have at least 3 years of professional work experience.We aim to make health care affordable and accessible for all, and apply this same vision to our perks…",Posted1 day ago,3.3,Remote in New York, NY 10013+2 locations
326,Data Engineer II,Spiceworks,"Remote in Rochester, NY+3 locations",missing,"Work closely with stakeholders on the data supply side (e.g. application engineers) and data demand side (e.g., BI analysts, data scientists, product managers,…",Posted1 day ago,3.9,Remote in Rochester, NY+3 locations
327,"Language Engineer (FTC), Lex Data","Amazon Dev Center U.S., Inc.","New York, NY+22 locations",missing,Experience with language data analysis.Manage and process large amounts of linguistic data.Experience in developing and evaluating data annotation metrics.,Posted1 day ago,3.5,New York, NY+22 locations
328,GCP Data Engineer (AWS/Azure/Cloud Experience),Samjose Infotech,"Remote in Albertson, NY",missing,Data warehouse: 7 years (Preferred).,Posted1 day ago,missing,Remote in Albertson, NY
329,Data Engineer III,Teladoc Health,"Hybrid remote in Purchase, NY 10577",missing,Data is significant at Teladoc and our data engineers design and develop data pipelines to integrate data across disparate systems and create tools and data…,Posted1 day ago,3.1,Hybrid remote in Purchase, NY 10577
330,Senior Data Engineer,SAIC,Remote in United States,missing,The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…,PostedJust posted,4.0,Remote in United States,
331,REMOTE Data Engineer,CyberCoders,"Remote in Los Angeles, CA 90034+18 locations",missing,"ACID, snowflake schema, normalized/denormalized data.Build and edit Spark jobs in Scala for various tasks, ex - reading kinesis stream using Spark Streaming,…",PostedJust posted,3.6,Remote in Los Angeles, CA 90034+18 locations
332,Data Connectivity Engineer,Johnson & Johnson,"Remote in Redwood City, CA 94065+2 locations",missing,"Complete data and security assessments of new customers, and complete necessary steps to ensure data connectivity during installation by a Field Service…",PostedJust posted,4.2,Remote in Redwood City, CA 94065+2 locations
333,Lead Data Test Engineer - Server Side,Pluto TV,"Los Angeles, CA 90069",missing,Perform data profiling on downstream data for the purposes of finding field anomalies and possible data quality issues.,PostedJust posted,missing,Los Angeles, CA 90069
334,Data Center Systems Integration Engineer,Meta,"Fremont, CA 94555 (Northgate area)",missing,"Collaborate with data center Site Operations and Facilities Operations teams, and Hardware Design and Release-to Production teams to understand issues affecting…",PostedJust posted,4.1,Fremont, CA 94555 (Northgate area)
335,Software Engineers with Data Structure Background,Comcentric,Remote in California+1 location,missing,"Strong ability to design and implement efficient algorithms, data structures.3 years of professional experience in extract, cluster or classifying high quality…",PostedJust posted,4.2,Remote in California+1 location,
336,Data & Tools Engineer 3 [HYBRID],Southern California Edison,"Pomona, CA 91767",missing,"Provide Engineering Subject Matter Expertise as it pertains to Grid, System Planning data, studies, and reports.Lead Regulatory Rule 21 and DER Data Requests.",PostedToday,3.9,Pomona, CA 91767
337,Virtual Cloud Data Engineer - Solution Architect,Deloitte,"Sacramento, CA 95814 (Downtown area)+5 locations",missing,9+ years of experience in data engineering with an emphasis on data analytics and reporting.Build large-scale batch and real-time data pipelines with data…,PostedToday,4.0,Sacramento, CA 95814 (Downtown area)+5 locations
338,Data Engineer (Starlink),SpaceX,"Mountain View, CA+1 location",missing,Experience working with in-stream data processing of structured and semi-structured data.Experience with schema design and dimensional data modeling.,PostedToday,3.6,Mountain View, CA+1 location
339,MDM and Data Engineer (M&A),Workday,"Pleasanton, CA+1 location",missing,Define business process workflows using MDM tools to implement data governance.Hands-on experience in building robust data integration pipelines.,PostedToday,4.0,Pleasanton, CA+1 location
340,Associate Data Engineer,mPulse Mobile,"Hybrid remote in Los Angeles, CA 91436",missing,Experience with other tools orchestrating different components responsible for processing data in data pipelines is allowed as well.,PostedToday,4.4,Hybrid remote in Los Angeles, CA 91436
341,Data Engineer,Remedy Robotics,Remote in California,missing,Ensuring all data assets are reliably stored and safely accessed.Previous experience working with PHI (Protected Health Information) medical data.,PostedToday,missing,Remote in California,
342,Staff Data and Software Engineer II,Affinity Solutions,"Remote in San Jose, CA 95113+1 location",missing,"This position requires experience in designing and building data pipelines, data services, data warehouses, business intelligence systems, especially around…",PostedToday,2.5,Remote in San Jose, CA 95113+1 location
343,Data Engineer B2B Connect,Visa,"Foster City, CA+20 locations",missing,"Conduct transaction data analyses with Hadoop/Cloud and big data technologies for internal and external product owners, and develop deeper insights into the…",PostedToday,3.9,Foster City, CA+20 locations
344,Staff BI and Data Engineer,Affinity Solutions,"Remote in San Jose, CA 95113",missing,"Work closely with a dynamic and growing team of account managers, data engineers and data scientists to perform quantitative analysis of customer data,…",PostedToday,2.5,Remote in San Jose, CA 95113
345,Senior Data Engineer,SAIC,"Remote in Austin, TX 78744",missing,The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…,PostedJust posted,4.0,Remote in Austin, TX 78744
346,"Remote Principal Data Engineer (GCP, BigQuery, Kafka)- 190k",Michael Page,"Remote in Austin, TX",missing,"Help design, develop and implement end to end data solutions such as storage, integration and processing in GCP.Proficient using Python and SQL.",PostedJust posted,3.5,Remote in Austin, TX
347,Data Engineer Mid Level - Machine Learning,USAA,"Hybrid remote in San Antonio, TX 78288",missing,"4 years of data engineering, data analysis or software development experience implementing data solutions with at least 1 year of data engineering or data…",PostedJust posted,3.9,Hybrid remote in San Antonio, TX 78288
348,Data Systems Engineer,CyberCoders,"Remote in Houston, TX 77002",missing,Ensure data quality amongst various data systems.Work with product owners to understand and implement reports and data extracts as well as data sources for…,PostedJust posted,3.6,Remote in Houston, TX 77002
349,Data Engineer II (Data Science),C.H. Robinson,"Houston, TX+2 locations",missing,Collaborate with other data engineers to design data solutions of limited complexity that support business processes requiring little or no architectural…,PostedJust posted,3.4,Houston, TX+2 locations
350,"Data Engineer, Consultant - Analytics & Cognitive",Deloitte,"Austin, TX+12 locations",missing,"1+ year of hands on experience with data core modernization and data ingestion.Implement large-scale data ecosystems including data management, governance and…",PostedToday,4.0,Austin, TX+12 locations
351,Virtual Cloud Data Engineer - Solution Architect,Deloitte,"Dallas, TX 75201 (Downtown area)+8 locations",missing,9+ years of experience in data engineering with an emphasis on data analytics and reporting.Build large-scale batch and real-time data pipelines with data…,PostedToday,4.0,Dallas, TX 75201 (Downtown area)+8 locations
352,Staff Data Engineer,Walmart,"Dallas, TX 75202 (Downtown area)+4 locations",missing,Coach and mentor junior data engineers.Develop systems to analyze and filter continuous data flows- driving toward increasingly lower latency so our data…,PostedToday,3.5,Dallas, TX 75202 (Downtown area)+4 locations
353,Senior Data Scientist - Machine Learning Engineer,Walmart,"Dallas, TX 75202 (Downtown area)+1 location",missing,Work closely with data engineers and data analysts to help build ML- and statistics-driven data quality and continuous data monitoring workflows.,PostedToday,3.5,Dallas, TX 75202 (Downtown area)+1 location
354,Data Engineer - Data Intelligence - Stratascale,Stratascale,"Remote in Dallas, TX 75240",missing,"Implement data governance to maintain data integrity.Working knowledge and experience working with data warehouses, data lakes, and data lakehouses.",PostedToday,missing,Remote in Dallas, TX 75240
355,Senior Critical Environment Engineer (Data Center),QTS Data Centers,"Irving, TX",missing,Two or more years’ data center specific experience.This role requires work hours to support a 7x24x365 data center environment.,PostedToday,3.7,Irving, TX
356,Data Engineer,Insight Global,Texas,missing,"Develop highly scalable and reliable data engineering solutions for moving data efficiently across systems; design, implement, test and deploy data processing…",PostedToday,3.9,Texas,
357,Data Engineer,Amazon.com Services LLC,"Dallas, TX+33 locations",missing,Designs data integrations and data quality framework.Knowledge of data management fundamentals and data storage principles.,PostedToday,3.5,Dallas, TX+33 locations
358,Test Data Management Engineer,General Motors,"Austin, TX",missing,"Extensive knowledge of SQL, test data design and test data management tools with a proven history of providing effective test data solutions.",PostedToday,4.0,Austin, TX
359,AI Data Engineer,General Motors,"Austin, TX+1 location",missing,"Knowledge of data quality, data cleansing, data wrangling, and data standards.Experience in data aggregation and manipulation of large data sets.",PostedToday,4.0,Austin, TX+1 location
