songtitle,artist/bandname,year,lyricsurls,lyrics
Searchin',Eminem,1996,https://www.azlyrics.com/lyrics/eminem/searchin.html,"['""Searchin\'"" lyrics', 'Eminem Lyrics', '""Searchin\'""', '(feat. Eye-Kyu & Angela Workman)', '[Angela Workman:]', ""Ain't no one special, special like you"", ""Ain't no one special, special like you"", ""Ain't no one special, special like you"", ""Ain't no one special, special like you"", ""I been searchin'"", ""But you're the one I want in my life, baby"", ""I been searchin'"", ""But you're the one I want in my life, baby"", ""I been searchin'"", ""But you're the one I want in my life, baby"", ""I been searchin'"", ""But you're the one I want in my life, baby"", '[Eminem:]', ""I'm reminiscin' on your tenderness"", ""And the snugglin' and teasin'"", ""Missin' what I remember"", ""Kissin' and huggin' and squeezin'"", ""Buggin' and wheezin'"", ""I'm havin' trouble when breathin'"", ""It's even tougher when sleepin'"", ""But there's a couple of reasons that I'm sufferin' and grievin'"", ""For lovin' and leavin'"", ""You're all I'm thinkin' of in the evenin'"", ""You got my knees bucklin' and weakenin'"", ""Thoughts of nothin' but freakin'"", ""That I'm strugglin' to keep in"", ""And interrupt when I'm speakin'"", ""I got some game that I'm preparin' to run"", 'The way your lips sparkle and they glare in the sun', 'You got your hair in a bun', ""No matter what you're wearin' you stun"", ""'Cause you're comparin' to none"", 'I want to share in the fun, I feel a passionate lust', ""When I imagine it just alone at last when it's us"", ""I see you graspin' to trust"", ""But my intentions are good, let's leave the past in the dust"", ""I'm not askin' to rush"", 'And answer me immediately', 'I just wanna be there for you and you to be there for me', 'If you agree to repeat after me', '""I love you"" (I love you, baby)', ""'Cause I just need you to see"", ""How much I'm eager to be your man legally wed"", ""Your love's keepin' me fed"", 'This is easily said, so you can lead or be led', 'If you care to be down', ""'Cause ain't nobody like you nowhere to be found"", '[Angela Workman:]', ""I been searchin'"", ""But you're the one I want in my life baby"", ""I been searchin'"", ""But you're the one I want in my life baby"", ""I been searchin'"", ""But you're the one I want in my life baby"", ""I been searchin'"", ""But you're the one I want in my life baby"", '[Eye-Kyu:]', ""Baby, it's all on you, it's you I call on, boo"", ""Let's set a day up so you can fall on through"", ""We'll take a spin in a Lexus"", 'You can chill for dinner and breakfast', 'Long enough to see how this gentleman sexes', ""We'll start it off with caviar, Dom Pérignon"", ""And then when it's a fact we are warm, carry on"", ""We'll take it slow, see, nobody will hurry things"", 'I got the Izze, the Bacardi and Hurricane', 'If Daiquiris are in debate and not your thang that day', ""It's still all right 'cause I got Minute Maid and Tangeray"", ""You're an incredible one that's rare"", 'I bet in edible underwear', ""You'll look impeccable, none compare"", ""I dream of freakin' you, the women that I'm speakin' to"", 'It seems that there is not an end to things that we can do', 'So, now we all set to play, only thing left to say', 'Is when you step away, baby, look over in the négligée', '[Angela Workman:]', ""I been searchin'"", ""But you're the one I want in my life baby"", ""I been searchin'"", ""But you're the one I want in my life baby"", ""I been searchin'"", ""But you're the one I want in my life baby"", ""I been searchin'"", ""But you're the one I want in my life baby"", ""Ain't no one special, special like you"", ""Ain't no one special, special like you""]"
Schrodinger's Cat,Tears For Fears,1996,https://www.azlyrics.com/lyrics/tearsforfears/schrodingerscat.html,"['Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Summer days', 'That blind your face', 'Will soon be dead and gone', 'Better get it on', 'Tuned to a day, the babe against the world, yeah', 'You took the best seat', 'Rather risk it', 'When the chips were down', 'Better make it long', ""Schrodinger's Cat is dead to the world"", 'Just as your cat sees in the dark', 'You criticize the play and isolate the box', 'I always knew you were a scientist at heart', 'Just as the breeze with speed and build, you sat upon the fence', 'Clucking like a chicken making perfect sense', 'Pass that gun, hand me that knife', ""Man's little monster has been brought back to life"", 'Just as the cat sees in the dark', 'You criticize the flow and isolate the box', 'I always knew you were a scientist at heart', 'I always knew you were', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', ""Schrodinger's Cat is dead to the world"", 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich', 'Last train to Norwich, last train to Norwich']"
He'd Never Seen Julie Cry,"Messina, Jo Dee",1996,https://www.azlyrics.com/lyrics/jodeemessina/hedneverseenjuliecry.html,"['His heart was tougher than a piece of leather\r', 'Had a will carved out of stone\r', 'He was stallion who had thrown every rider\r', 'No woman could seem to hang on\r', 'He had always been a fortress\r', 'With walls to high to climb\r', ""But then again he'd never seen Julie cry"", '\r', ""He wasn't lookin for a woman\r"", ""He was racin' with the wind\r"", 'But he kinda took to Julie\r', 'Cause she kept up with him\r', ""Thought he'd out run her like the others\r"", 'Leave her somewhere down the line\r', ""But then again he'd never seen Julie cry"", '\r', 'He never thought that love would hit him\r', ""Like a train comin' out of the dark\r"", 'He never thought a friend would hand him the keys to his own heart\r', ""He was like a ragin' river\r"", ""One that's just to rough to ride\r"", ""But then again he'd never seen Julie cry"", '\r', ""But then again he'd never seen Julie cry"", '\r', 'Oh how he wanted just to hold her\r', 'And wipe away the tears\r', 'But she turned him a cold shoulder\r', ""Said I've tried lovin' you for years\r"", ""He didn't know that it was over\r"", 'He thought he could make it right\r', ""But then again he'd never seen Julie cry"", '\r', 'He never thought that love would hit him\r', ""Like a train comin' out of the dark\r"", 'He never thought a friend would hand him the keys to his own heart\r', ""He was like a ragin' river\r"", ""Oh one that's just to rough to ride\r"", ""But then again he'd never seen Julie cry"", '\r', ""Oh but then again he'd never seen Julie cry"", '\r', 'Ooooooohhh', '\r', ""Until then he'd never seen Julie cry""]"
Longfellow Serenade,"Diamond, Neil",1996,https://www.azlyrics.com/lyrics/neildiamond/longfellowserenade.html,"['Longfellow Serenade', ""Such were the plans I'd made"", 'For she was a lady', 'And I was a dreamer', 'With only words to trade', 'You know that I was born', 'For a night like this', 'Warmed by a stolen kiss', 'For I was lonely', 'And she was lonely', 'Ride, come on baby, ride', 'Let me make your dreams come true', ""I'll sing my song"", 'Let me sing my song', 'Let me make it warm for you', ""I'll weave his web of rhyme"", 'Upon the summer night', ""We'll leave this worldly time"", 'On his winged flight', 'Then come, and as we lay', 'Beside this sleepy glade', 'There I will sing to you', 'My Longfellow serenade', 'Longfellow serenade', 'Such were the plans I made', 'But she was a lady', 'As deep as the river', 'And through the night we stayed', 'And in my way I loved her as none before', 'Loved her with words and more', 'For she was lonely and I was lonely', 'Ride, come on baby, ride', 'Let me make your dreams come true', ""I'll sing my song"", 'Let me sing my song', 'Let me make it warm for you', ""I'll weave his web of rhyme"", 'Upon the summer night', ""We'll leave this worldly time"", 'On his winged flight', 'Then come, and as we lay', 'Beside this sleepy glade', 'There I will sing to you', 'My Longfellow serenade', 'Weave your web of rhyme', 'Upon the summer night', ""We'll leave this worldly time"", 'On your winged flight']"
Man Royal,Beenie Man,1996,https://www.azlyrics.com/lyrics/beenieman/manroyal.html,"['Yeah man, me know she mek you sick, man', 'You see how she a mek you a vomit', ""You see it, a that's why me a tell you enuh brethren"", 'You see me, Beenie Man, mek me a tell you something', 'Hear me', 'Me no waan no man royal gyal, gyal', ""Gi' me the gyal dem with the real born serial"", 'Gyal come a dance, dress up inna man material', 'All inna dress like she a go funeral-al', 'Me no waan no man royal gyal, gyal', ""Gi' me the gyal dem with the real born serial"", 'Gyal come a dance, dress up inna man material', 'All inna dress like, hold on', 'Gyal come inna dance and all a walk and all a push', ""Call her Patel, that's exactly how she look"", ""Gyal can't even cook, she all a read out a book"", 'Every night she and a gyal gawn inna bush', ""Eeh 'cause she a husband crook, hold on"", 'Gyal come inna dance and all a stand up and a pose', 'A wiggle and a whine up inna people old clothes', 'You draw fi a lighter, and she draw fi a hose', ""'Cause she no waan bun the clothes, so sing along"", 'Me no waan no man royal gyal, gyal', ""Gi' me the gyal dem with the real born serial"", 'Gyal come a dance, dress up inna man material', 'All inna dress like she a go funeral-al', 'Me no waan no man royal gyal, gyal', ""Gi' me the gyal dem with the real born serial"", 'Gyal come a dance, dress up inna man material', 'All inna dress like, hold on', 'How she walk and how she talk and how she flex', 'A just the way me know she stay', ""'Bout she waan look the DJ"", 'A itch up and a whine up with her friend dem', 'And the whole a dem a gay', 'And me hear she stay the same way', 'Reason why me hate me man royal gyal dem', ""Always end up with nuff ol' bwoyfriend"", 'All 6, 7, 8, 9, 15 a dem', 'Eeh, with all a one gyal friend', 'So sing again', 'Me no waan no man royal gyal, gyal', ""Gi' me the gyal dem with the real born serial"", 'Gyal come a dance, dress up inna man material', 'All inna dress like she a go funeral-al', 'Me no waan no man royal gyal, gyal', ""Gi' me the gyal dem with the real born serial"", 'Gyal come a dance, dress up inna man material', ""Any time me see dem 'pon the street, me haffi laugh"", 'Some gyal weh a walk with all dem head bawl off', 'Strong like a Samson, like a weight dem a pop off', 'Me haffi draw fi me mask, hold on deh', 'Me know a man royal gyal name Jone', 'Feminine creature full a man hormones', 'Last week me hear Patsy in her love zone, mhm', 'Me tell her leave me alone, and fling a stone', 'Me no waan no man royal gyal, gyal', ""Gi' me the gyal dem with the real born serial"", 'Gyal come a dance, dress up inna man material', 'All inna dress like she a go funeral-al', 'Me no waan no man royal gyal, gyal', ""Gi' me the gyal dem with the real born serial"", 'Gyal come a dance, dress up inna man mat-', 'Mix up, mix up, mix up, time again man, hold on', 'Gyal come inna dance and all a walk and all a push', ""Call her Patel, that's exactly how she look"", ""Gyal can't even cook, she all a read out a book"", 'Every night she and a gyal gawn inna bush', ""Look! 'Cause she a husband crook, hold on"", 'Gyal come inna dance and all a stand up and a pose', 'A wiggle and a whine up inna people old clothes', 'You draw fi a lighter, and she draw fi a hose', ""'Cause she no waan bun the clothes"", 'Me no waan no man royal gyal, gyal', ""Gi' me the gyal dem with the real born serial"", 'Gyal come a dance, dress up inna man material', 'All inna dress like she a go funeral-al', 'Me no waan no man royal gyal, gyal', ""Gi' me the gyal dem with the real born serial"", 'Gyal come a dance, dress up inna man material', 'All inna dress like, hold on', 'How she walk and how she talk and how she flex', 'A just the way me know she stay', ""'Bout she waan look the DJ"", 'A itch up and a whine up with her friend dem', 'And the whole a dem a gay', 'And me hear she stay the same way', 'Reason why me hate me man royal gyal dem', ""Always end up with nuff ol' bwoyfriend"", 'All 6, 7, 8-']"
Ships Go Out,Tom T. Hall,1996,https://www.azlyrics.com/lyrics/tomthall/shipsgoout.html,"['Ships go out I see them every day', 'Ships go out I watch them sail away', 'And on the decks I see my smiling friends', 'Ships go out but they never do come in', 'Ships go out I watch them disappear', 'Ships go out and leave me standing here', ""And I don't know if that's where life begins"", 'Ships go out but they never do come in', 'When life is cheap it never seems to last', 'When life is sweet it seems to go too fast', 'So on the dock I tell the idle wind', 'Ships go out but they never do come in', 'Ships go out onto the seas so high', 'Ships go out beneath an endless sky', 'And on the shore is where their stories end', 'Ships go out but they never do come in', 'When life is cheap it never seems to last...', 'Ships go out']"
If I Were A Man,Rosanne Cash,1996,https://www.azlyrics.com/lyrics/rosannecash/ifiwereaman.html,"[""If I were a man. I'd be so sweet."", ""I'd give me everything I need."", ""I'd be so glad to go this deep,"", 'If I were a man.', ""If I were the moon, I'd hang so low."", ""I'd bring sweet love to all below."", ""I wouldn't change and hurt you so,"", 'If I were the moon.', 'Well it goes on and on forever,', ""and there's just no way to know."", 'I can change just like the weather,', ""I'm solid as a stone."", ""If I were the wind, I'd blow and shout."", ""I'd clean our souls and bodies out."", ""I'd shake the memories from this house,"", 'If I were the wind.', ""If I were God, I guess I'd know."", ""I guess my friend's would tell me so."", 'It would be a heavy line to tow,', 'If I were God.', 'Well, it goes on and on forever,', ""and there's just no way to know."", 'I can change just like the weather.', ""I'm as solid as a stone."", '[Repeat last verse]', ""If I were a man, I'd be so sweet."", ""I'd give me everything I need."", ""I'd be so glad to this deep."", ""I'd change the way the whole world thinks."", 'If I were a man....if I were a man']"
The Understanding,BoDeans,1996,https://www.azlyrics.com/lyrics/bodeans/theunderstanding.html,"['Boy we get so excited pointing fingers each day', ""Don't take the time to, even blame me"", ""No, we'll give it away"", ""The expectations that we're painting"", 'They go from paisley to white', 'I see right through them, stand up to them', ""Oh and I'm up for the fight"", 'And with these eyes, I never see right', 'Ooh, when I look in the mirror', ""I'm lost in golden red and blue"", ""I'm losing ground standing up to you"", 'And, I understand more than I want to', 'And, I stand more than I choose', ""And under these eyes I'm busted"", ""But I'm understanding you"", ""It's the understanding, that kills me"", 'So I return into my head', 'And I begin to see', 'This image is not the place for me', 'Is it someplace for you?', ""'Cause the destination is never changing"", 'When I guess, a change could do', 'When I try to move I fall, try to hold you and I lose it all', 'And with these eyes, I never see right', 'Ooh, when I look in the mirror', ""I'm lost in golden red and blue"", ""I'm losing ground standing up to you"", 'And, I understand more than I want to', 'And, I stand more than I choose']"
Mountains Of Might,Immortal,1997,https://www.azlyrics.com/lyrics/immortal/mountainsofmight.html,"['The storm is getting colder', 'In a place of the frozen sun', 'Alone on the mountainside', 'Breathing the clearest winds', 'The winds are ever blowing', 'Blowing off the glaciers', 'Snow descends on the valley', 'The high impassable drifts', 'Mountains of might', 'Mountains of might', 'So rightly I am watching', 'These mountains that I know', 'Standing here', 'These mountains’ Northern face', 'Mountains of might', 'Mountains of might', 'Mountains of might', 'Mountains of might', 'Mountains of might', 'Mountains of might', 'Mountains of might', 'Icicled peaks', 'As far as the eye can see', 'I will reign this place alone', 'Cold winds blew into the valley wall', 'Snow was deeper there', 'The storm is getting colder', 'In a place of the frozen sun', 'Alone on the mountainside', 'Breathing the clearest winds', 'Mountains of might', 'Mountains of might', 'Mountains of might', 'Mountains of might']"
Anything You Want,Allure,1997,https://www.azlyrics.com/lyrics/allure/anythingyouwant.html,"['I use to think that', 'Love could never happen', 'To someone like me', 'Until I saw you walking next to me', ""Now I'm certain that anything can happen"", 'But I need you to help me', 'Baby set me free', '[Chorus:]', 'Anything you wanna do', ""I'll be right by your side"", ""I'll be there to give you all the love you need"", 'Morning, noon, and night', '[Chorus]', 'Honey you know', ""I've been thinking"", 'About some things we could do', ""How 'bout it, just me and you"", 'Tell me what you been doing', 'I think we can get into it', 'Anything you wanna do', ""Baby it's up to you"", ""I know it's alright"", '(I know)', 'The feeling is right', '(I know this feeling so right)', ""I know it's OK"", ""I'll show you the way"", '(Anything that you wanna do)', '[Chorus (2x)]']"
We Can't Unmake Love,"Judd, Wynonna",1997,https://www.azlyrics.com/lyrics/wynonnajudd/wecantunmakelove.html,"['Before God and family we made the perfect start\r', 'And swore death would be the only thing to keep us apart\r', ""But we're fighting just like soldiers on a field of battle now\r"", 'And the life we made together is our only common ground\r', ""She's got your eyes, my nose and our hearts"", '[Chorus]', '\r', ""We can't unmake love\r"", 'And just erase all the years\r', 'The sweetest little girl\r', 'In all the world will still be here\r', 'We promised love would last\r', ""She's living proof it still does\r"", 'So even if we wanted to give up\r', ""We can't unmake love"", '\r', ""Remember how the future looked as we'd lie awake and dream\r"", 'Thinking just how powerful the love we made could be\r', ""And I can't help believing it's all still possible\r"", 'But if coming to our senses is gonna take a miracle\r', ""She's right upstairs, right now, asleep"", '[Repeat Chorus]']"
Disappear,Letters To Cleo,1997,https://www.azlyrics.com/lyrics/letterstocleo/disappear.html,"['What would you do for me my sweet cherubic baby?', 'Ideally way up high and lovely', ""Well I had a thought that I'm not waiting for you any more"", ""I'm astral, crystalline pure through"", 'You could disappear tomorrow', 'Who would care?', ""It's not like the retribution"", 'Would end there', 'You could disappear', 'Tell us a story', 'Tell us all about your heavenly lie', ""In detail, and don't leave out a word"", ""I'm listening"", 'All grown up Stepford son', ""Don't ever change"", ""Don't go away"", ""You're too quiet"", 'Ever to be heard', 'But you could', 'Disappear tomorrow', 'Who would care?', ""It's not like the retribution"", 'Would end there', 'You could disappear tomorrow', 'But let me make it clear so', 'Keep your eyes down low', 'And keep very still', 'Just keep your eyes down low', 'And keep very still', 'Just keep your eyes down low', 'And keep very still', 'Hands up']"
When The Chariot Comes,"McKnight, Brian",1997,https://www.azlyrics.com/lyrics/brianmcknight/whenthechariotcomes.html,"['Hey ho, hey ho [repeat throughout song]\r', 'Oh, oh, gidyup', '\r', 'All of these flowers\r', ""For this friend of ours, it's such a shame\r"", 'All of these people\r', 'All of them equally feel the same\r', ""There's silence and weeping\r"", ""Looks like he's sleeping, the children say\r"", 'They say he was ready, I hope he was ready\r', ""Is the prayer I'm praying"", '\r', 'When Gabriel begins to blow\r', 'Victory shall be mine\r', 'When the horses get ready to go\r', ""Angels won't leave me behind"", ""[1] - I'm gonna be, got to be ready\r"", 'When the chariot comes\r', '(When the chariot, when the chariot comes)\r', ""I'm gonna be, got to be ready\r"", 'When the chariot comes', '\r', '(Giddyup)\r', 'Over the prairie\r', 'The pallbearers carry and lay him to rest\r', ""Satan's a cheater, Christ is the teacher\r"", ""And life's the test"", '\r', 'Oh Lord, take me higher\r', ""Never liked fire, I can't stay here\r"", 'I gotta get ready, gotta get ready\r', 'Time has drawn near\r', 'When Gabriel begins to blow\r', 'Victory shall be mine\r', 'When the horses get ready to go\r', ""The angels won't leave me behind"", '[Repeat 1]', '\r', 'As I lay me down to sleep\r', 'I pray my soul you keep\r', 'If I die before I wake\r', ""I pray my soul you'll take\r"", ""'Cause I gotta be, gotta be ready, when Jesus comes\r"", 'When that chariot comes\r', 'Got to be , got to be ready, when the chariot comes', '\r', ""Said I've got to be, got to be ready\r"", 'When the chariot comes', '[Repeat until fade]']"
Check My Eyelids For Holes,Stereophonics,1997,https://www.azlyrics.com/lyrics/stereophonics/checkmyeyelidsforholes.html,"['I gotta lose weight', 'I, I swallow honey', 'Is my stand up show', 'Still, still, still that funny?', 'Am I back for good?', 'I said that I', 'Said that I would be', ""She's down waist low"", 'Trying to make me happy', 'Because I like watching you', ""It's time I tried, gotta check my"", 'Check my eyelids', 'Check for holes', ""It's time I tried, gotta check my"", 'Check my eyelids', 'Check for holes', 'Two weeks late', 'I, I, I gotta test for babies', 'Shop take is falling low', ""I'm not going back"", 'Back to the factories', 'Because I like what I do', ""It's time I tried to check my"", 'Check my eyelids', 'Check for holes', ""It's time I tried to check my"", 'Check my eyelids', 'Check for holes', ""It's time I tried to check my"", 'Check my eyelids', 'Check for holes', ""It's time I tried to check my"", 'Check my eyelids', 'Check for holes', ""It's time I tried"", ""It's time I tried"", ""It's time I tried"", ""It's time I tried"", ""It's time I tried"", ""It's time I tried"", ""It's time I tried to check my lids for holes""]"
You Are My Solid Ground,Patti LaBelle,1997,https://www.azlyrics.com/lyrics/pattilabelle/youaremysolidground.html,"[""When you're lying tenderly beside me,\r"", 'And I feel your breath so soft against my cheek,\r', 'All my fears just disappear in darkness,\r', 'And I know for sure, \r', 'I could never leave,\r', ""You are the strength that I've found to see,\r"", ""You life me up when I'm down-loving me, \r"", 'When I never thought, \r', ""That I'd feel my heart come around,\r"", 'You are my solid ground,\r', ""I don' t need a fairy tale to save me, \r"", ""I've got all the magic I need in your arms,\r"", ""And I won't even fly away in madness,\r"", ""I'll stay close enough to always feel your warmth,\r"", ""You are the strength that I've found to see,\r"", ""You lifted me up when I'm down-loving me,\r"", ""When I never thought that I'd feel my heart come around,\r"", 'You are my solid ground,\r', ""I'm...so in love with you, \r"", ""You're everything faithful and true, \r"", 'I know I could touch every star,\r', ""When you're lifting me and I'm right there where you are,\r"", ""You are the strength, that I've found to see, \r"", ""You life me up when I'm down...loving me,\r"", ""When I never thought, that I'd feel my heart come around,\r"", 'You are my solid ground, you are my solid ground.']"
Sweet Surrender,"McLachlan, Sarah",1997,https://www.azlyrics.com/lyrics/sarahmclachlan/sweetsurrender.html,"[""It doesn't mean much"", ""It doesn't mean anything at all"", ""The life I've left behind me"", 'Is a cold room', ""I've crossed the last line"", ""From where I can't return"", 'Where every step I took in faith betrayed me', 'And led me from', 'My home', 'Sweet surrender', 'Is all that I have to give', 'Take me in', 'No questions asked', 'You strip away the ugliness', 'That surrounds me', '(Who are you?)', 'Are you an angel?', 'Am I already that gone?', ""I only hope that I won't disappoint you"", ""When I'm down here on"", 'My knees', '(Who are you?)', 'Sweet surrender', 'Is all that I have to give', '(Who are you?)', 'Sweet surrender (surrender)', 'Is all that I have to give', ""And I don't understand"", 'How the touch of your hand', 'I would be the one to fall', 'I miss the little things', 'I miss everything', 'About you', ""It doesn't mean much"", ""It doesn't mean anything at all"", 'The life I left behind me', 'Is a cold room', '(Who are you?)', 'Sweet surrender (surrender)', 'Is all that I have to give', '(Who are you?)', 'Sweet surrender (surrender)', 'Is all that I have to give']"
Broken Wing,LeAnn Rimes,1997,https://www.azlyrics.com/lyrics/leannrimes/brokenwing.html,"['Today I watched a robin\r', 'In our front yard\r', 'I thought by now that they should all be gone.\r', 'With winter ‘round the corner\r', 'Snow on its way\r', 'Surely something must be wrong.\r', 'Then in that old oak tree I finally saw her\r', 'Where she sat gazing down upon her mate\r', 'And the song that she was singing\r', 'Seemed to say ""I’ll be right here""\r', '""I’d like to go, but your love’s made me stay.""\r', 'He’s got a broken wing\r', 'And that’s why he can’t fly\r', 'She just can’t leave him there\r', 'So she stays by his side\r', 'They’re just like you and me\r', 'Oh you should’ve heard her sing\r', 'They won’t give up\r', 'It’s just a broken wing.\r', 'I wish we all could learn\r', 'What they seem to have found\r', 'To love our families\r', 'When trouble comes around\r', 'I’ll bet that God saw fit\r', 'To show them unto me\r', 'Him on the ground\r', 'Her in that tree']"
Blistering,Machine Head,1997,https://www.azlyrics.com/lyrics/machinehead/blistering.html,"['you stabbed me in the back over a sliver', 'a feeling i have been betrayed', 'both hands broken together', 'clenching fists cause the rage', '[chorus:]', 'it comes in spades', 'from a life of pain', ""i don't care 'cause i don't give a fuck"", 'it tears a path right through me', 'a systematic vision of survival', 'a struggle i alone engage', 'tension burning inside me', 'blood so sweet cause revenge', '[chorus]', 'revenge i mine', 'suffering divine', 'fractures break through bone', ""frustrating won't let go"", 'filled with lead and dumped into the river', 'and burned in a shallow grave', 'both hands broken together', 'clenching fists cause the rage']"
Do You Wanna Get $?,Ma$E,1997,https://www.azlyrics.com/lyrics/mae/doyouwannaget.html,"['""Do You Wanna Get $?"" lyrics', 'Ma$E Lyrics', '""Do You Wanna Get $?""', '(feat. Puff Daddy)', '[Mase] \r', 'Uh, uh, come on, uh \r', ""It be the same cats that wouldn't listen to my demo \r"", ""Now I want they ass in my limo cuz now I'm a sex symbol \r"", 'Intercontinental, L.A. airplay, just like Jay Leno \r', 'Now all the labels out wanna send a memo \r', ""To do a remix ya'll, but Mase say N-O \r"", ""Figure once I make it, they'll fake it \r"", ""And ain't nobody show me love when I was naked \r"", 'And when he threw my tape in the trash, I laughed \r', ""Now a nigga' tape on blast, I laugh \r"", 'Figure as days pass, make more cash \r', 'And I push everything from E to H-class  \r', ""Four years ago couldn't go to a show \r"", ""I was standin' on the corner sellin' dope for dough \r"", ""Now I no longer hope I'll blow, smoke my droll \r"", 'On a yacht, nigga fuck a boat that row ', '[1] - With all this money that we can make, \r', ""Why ya'll cats wanna playa hate? \r"", 'Do you wanna get money with us, do you wanna?\r', 'Do you wanna get money with us, do you wanna? \r', 'With all this money that we can make \r', ""Why ya'll cats wanna playa hate? \r"", 'Do you wanna get money with us, do you wanna? \r', 'Do you wanna get money with us, do you wanna? ', '[Mase] \r', ""Yo, the reality of it all, everybody can't ball \r"", ""If you had currency, you wouldn't be worryin' 'bout me \r"", 'But see, I could go the whole summer, gold Hummer \r', ""But I'd rather go Lex bubble, cuz it's less trouble \r"", 'Make my dough and I just stack, no investment \r', 'I live off just that \r', ""Money, hoes, and clothes, and shit that I'm best at \r"", ""But I'm a Bad Boy so you gotta expect that \r"", ""Why do what most do? Do what you 'possed to \r"", ""Make hot jams ya'll, sell bicoastal \r"", 'If you want a hit you can let me coach you \r', 'Money back on anything that got my vocals \r', 'This is so true, I do what pros do, \r', ""Cuz broke ain't a state that I'm tryin' to go through \r"", 'Dealers give me credit any place I go to \r', 'Drive out in the Benz say ""Let Mase owe you\'""', '[Repeat 1]', '[Mase] \r', 'See, the moral of the story is \r', ""I'm not here to replace Notorious \r"", ""I'm just a young cat tryin' to do his thing \r"", 'Harlem World style, pursue my dream, cuz see \r', ""The things that went 3 mil, I didn't even like that \r"", ""You say you got mad hoes, well we'll see tonight\r"", ""Mase be the cat that'll lead you to the light \r"", ""Messin' with me shorty, you'll be a-ight \r"", ""Stop listen' to all them cats on the block \r"", ""That tellin' you that Mase don't rock \r"", 'Cuz Mase is hot and Mase got a drop and a yacht and a big knot\r', 'To move you and your moms off the block \r', 'For real though, Mase got real dough\r', ""That be in briefcases cats kill fo' \r"", ""And since you can't beat us, it's best you join us \r"", ""Cuz I know you won't have this hold that's on us "", '[Repeat 1 until fade]']"
Deliverance,Dare,1998,https://www.azlyrics.com/lyrics/dare/deliverance.html,"['Follow the sun to the river, yeah', 'The sun that streams a light upon your face', 'Just before you turn into your sacred place', 'You showed me the sun again, oh yeah', 'Those broken dreams lie behind me, now', ""I can't forget them, and I don't know why"", 'Just because we walk beneath a different sky', 'We follow the sun again, yeah...', 'And we walk into the sun, searching for a better world', '(Searching for a better world my love)', ""Could it be we've really found deliverance, in your eyes"", '(In your eyes, in your eyes, my love)', ""And we'll stand beneath the sun"", 'Waiting for a better world', '(Waiting for a better world, my friend)', ""Could it be we've really found deliverance"", 'In your eyes, in your eyes', 'In your eyes, in your eyes', ""I've found the light, in your eyes..."", ""I've found my life, I've found deliverance"", ""I've found my life, I've found deliverance"", 'Oh yeah...']"
Feathers,Kidneythieves,1998,https://www.azlyrics.com/lyrics/kidneythieves/feathers.html,"['Rain made a place', 'For us to swim, to play', 'Inopportune devotion cannot be sound', 'So I take my lot of a few feathers from the sky', 'Into a ritual and let my spirit fly ', 'Wake up, is this a dream of a dream of a dream?', 'Simple pleasures', 'Falling feathers', 'Skating on this machine', 'Alone between my trip and me. ', 'What is real today? ', 'Until the dawn, away', 'Rain soft aura potion condemns me now', 'So I take my lot of a few feathers from the sky', 'Into a ritual and let my spirit fly ', 'Simple pleasures', 'Falling feathers', 'Skating on this machine', 'Alone between my trip and me. ', 'The price of all this vanity is getting way too high', 'The maintenance of my sanity is taking too much time', 'Simple feathers', 'Falling feathers', '7000 reasons to dream, 1 reason to live, 1 reason to me.']"
